date,open,high,low,close,volume
2025-06-09,203.7699,205.3750,199.4132,200.8388,72862600
2025-06-10,199.9914,203.7300,199.9615,202.0551,54672600
2025-06-11,202.8826,203.8796,197.8081,198.1769,60989900
2025-06-12,198.4760,199.0742,196.7612,198.5957,43904600
2025-06-13,199.1240,199.7621,195.1063,195.8540,51447300
2025-06-16,196.7014,198.0872,195.9637,197.8180,43020700
2025-06-17,196.6017,197.7881,194.6178,195.0465,38856200
2025-06-18,195.3455,196.9706,194.4782,195.9836,45394700
2025-06-20,197.6386,201.0881,196.2628,200.3902,96813500
2025-06-23,201.0183,201.6862,198.3564,200.8887,55814300
2025-06-24,201.9754,202.8228,199.5926,199.6923,54064000
2025-06-25,200.8388,203.0521,200.0114,200.9485,39525700
2025-06-26,200.8189,202.0252,198.8549,200.3902,50799100
2025-06-27,201.2775,202.6035,199.3932,200.4700,73188600
2025-06-30,201.3971,206.7608,198.6555,204.5475,91912800
2025-07-01,206.0430,209.5523,205.5146,207.1895,78788900
2025-07-02,208.2762,212.6928,207.5085,211.7955,67941800
2025-07-03,211.5064,213.9988,211.1674,212.9021,34955800
2025-07-07,212.0347,215.5740,208.1665,209.3130,50229000
2025-07-08,209.4626,210.7885,207.8176,209.3728,42848900
2025-07-09,208.8943,210.6888,206.5913,210.4994,48749400
2025-07-10,209.8713,212.8323,209.3928,211.7656,44443600
2025-07-11,209.9312,211.4864,209.2233,210.5194,39765800
2025-07-14,209.2931,210.2701,206.9104,207.9871,38840100
2025-07-15,208.5853,211.2472,208.2862,208.4756,42296300
2025-07-16,209.6620,211.7556,208.0070,209.5224,47490500
2025-07-17,209.9312,211.1574,208.9541,209.3828,48068100
2025-07-18,210.2302,211.1474,209.0638,210.5393,48974600
2025-07-21,211.4565,215.1253,210.9879,211.8354,51377400
2025-07-22,212.4934,214.2979,211.5861,213.7495,46404100
2025-07-23,214.3477,214.4973,211.7656,213.5003,46989300
2025-07-24,213.2511,215.0356,212.8822,213.1115,46022600
2025-07-25,214.0486,214.5870,212.7526,213.2311,40268800
2025-07-28,213.3807,214.1982,212.4136,213.4006,37858000
2025-07-29,213.5302,214.1583,210.1804,210.6290,51411700
2025-07-30,211.2571,211.7456,207.0898,208.4158,45512500
2025-07-31,207.8575,209.2034,206.5315,206.9403,80698400
2025-08-01,210.2303,212.9320,200.8887,201.7660,104434500
2025-08-04,203.8895,207.2493,201.0681,202.7331,75109300
2025-08-05,202.7829,204.7170,201.5467,202.3044,44155100
2025-08-06,205.0062,214.7266,204.9663,212.6030,108483100
2025-08-07,218.2160,220.1800,215.9229,219.3625,90224800
2025-08-08,220.1600,230.2992,218.5848,228.6542,113854000
2025-08-11,227.4864,229.1233,224.3324,226.7478,61806100
2025-08-12,227.5762,230.3609,226.6380,229.2131,55626200
2025-08-13,230.6304,234.5529,229.9916,232.8861,69878500
2025-08-14,233.6147,234.6727,230.4109,232.3372,51916300
2025-08-15,233.5548,233.8343,228.9037,231.1494,56038700
2025-08-18,231.2592,232.6765,229.6722,230.4507,37476200
2025-08-19,230.8400,232.4270,228.9137,230.1214,39402600
2025-08-20,229.5425,230.0316,225.3405,225.5800,42263900
2025-08-21,225.8395,226.0891,223.3543,224.4721,30621200
2025-08-22,225.7397,228.6542,224.9812,227.3267,42477800
2025-08-25,226.0491,228.8638,225.7996,226.7279,30983100
2025-08-26,226.4384,229.0534,224.2626,228.8738,54575100
2025-08-27,228.1751,230.4607,227.8258,230.0515,31259500
2025-08-28,230.3809,232.9660,228.9037,232.1176,38074700
2025-08-29,232.0677,232.9360,230.9298,231.6984,39418400
2025-09-02,228.8139,230.4108,226.5382,229.2830,44075600
2025-09-03,236.7587,238.3956,233.9142,238.0163,66427800
2025-09-04,237.9964,239.4436,236.2896,239.3239,47549400
2025-09-05,239.5434,240.8609,238.0363,239.2340,54870400
2025-09-08,238.8448,239.6931,235.8904,237.4275,48999500
2025-09-09,236.5491,238.3257,232.9161,233.9042,66313900
2025-09-10,231.7483,231.9778,225.5202,226.3586,83440800
2025-09-11,226.4484,230.0116,226.2188,229.5924,50208600
2025-09-12,228.7839,234.0639,228.5843,233.6247,55824200
2025-09-15,236.5491,237.7369,234.5829,236.2497,42699500
2025-09-16,236.7288,240.7611,235.8704,237.6969,63421100
2025-09-17,238.5154,239.6432,237.2777,238.5354,46508000
2025-09-18,239.5135,240.7411,236.1998,237.4275,44249600
2025-09-19,240.7711,245.8314,239.7530,245.0330,163741300
2025-09-22,247.8276,256.1518,247.6480,255.5928,105517400
2025-09-23,255.3932,256.8504,253.0976,253.9460,60275200
2025-09-24,254.7345,255.2535,250.5624,251.8300,42303700
2025-09-25,252.7283,256.6808,251.2311,256.3813,55202100
2025-09-26,253.6166,257.1099,253.2972,254.9740,46076300
2025-09-29,254.0757,254.5149,252.5287,253.9460,40127700
